country,unempbenefits,afp_totlabforce,afp_total,cgd_total,cureduexpen_pri,cureduexpen_sec,cureduexpen_ter,cureduexpen_total,eduattain_doctoral,eduattain_bachelor,eduattain_master,eduattain_sec,eduattain_postsec,eduattain_primary,eduattain_tertiary,eduattain_uppersec,expense,life_expectatbirth_fem,life_expectatbirth_male,life_expectatbirth_total,milexp_gdp,milexp_usd,peacekeepers,suic_mortalityrate_pop,suic_mortalityrate_female,suic_mortalityrate_male,totalreserves,unemptotal_modeiloest,unemptotal_nationalest,score,socialsupport,pay_usd
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,37.027773329239,84.8,80.9,82.8024390243903,5.3448303994437,19759173450.6567,,,,,,3.99799990653992,3.99799990653992,7.138999999999999,1.455,97103.174603174603
Italy,,,,,,,,,,,,,,,,,42.5432300275818,85.6,81.2,83.3463414634146,1.34089971920592,27807513898.2331,,,,,,10.6099996566772,10.6099996566772,6.223,1.4880000000000002,44807.692307692308
Jamaica,,,,,98.7713317871094,97.7152862548828,98.0855102539063,98.0438385009766,,,,,,,,,26.5863318164942,75.993,72.787,74.368,1.34909381042991,209675820.865544,,,,,21.3993514885693,9.10400009155273,9.10369968414307,5.89,1.4780000000000002,
Japan,,,,,,,,,,,,,,,,,16.3412964667156,87.32,81.25,84.2109756097561,0.93728299833636,46617954863.9536,,,,,,2.40000009536743,2.40000009536743,5.886,1.419,60394.736842105263
Jordan,,,,,93.0839233398438,92.5295333862305,27.1660594940186,89.6038284301758,,,,,,,,,27.0015361413437,76.175,72.73,74.405,4.70986865601755,1957746478.87324,,,,,,14.9589996337891,,4.906000000000001,1.225,
Kazakhstan,,,,,98.3197479248047,,97.5390014648438,95.4510269165039,,34.0811004638672,0.0891700014472008,99.4586715698242,79.0202713012695,99.9406204223633,73.9102783203125,97.399787902832,14.7050433078792,77.19,68.84,73.15,0.929206278453493,1572401181.96767,,,,,19.7329621075094,4.82499980926514,4.84999990463257,5.809,1.508,
Kenya,,,,,,,,,,,,,,,,,24.8264807403605,68.684,63.965,66.342,1.25846959942687,1113648361.6452,,,,,26.7102552572215,2.63499999046326,,4.5089999999999995,0.983,51000.000000000000
Kiribati,,,,,,,,,,,,,,,,,,72.113,64.001,68.116,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,75.549,68.435,72.095,,1604444444.44444,,,,,,2.71300005912781,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,24.9798289406511,85.7,79.7,82.6268292682927,2.50303538901831,43069973342.8752,,,,,,3.84800004959106,3.82399988174438,5.895,1.219,39062.500000000000
Kosovo,,,,,,,,,,,,,,,,,,74.5,70,72.1951219512195,0.797914334268523,63344074.218335,,,,,37.969655386813,,29.4200000762939,6.1,1.232,
Kuwait,,,,,,,,,,11.1163301467896,0.453420013189316,55.9323883056641,18.50705909729,61.7958297729492,,31.1964302062988,,76.467,74.672,75.398,5.13365405096303,7296266526.41746,,,,,,2.07599997520447,,6.021,1.319,
Kyrgyz Republic,,,,,,,,,,,,,,,,,25.4852528760826,75.6,67.4,71.4,1.59982588920602,127148346.679175,,,,,26.397693022003,5.96000003814697,4.53709983825684,5.261,1.4380000000000002,
Lao PDR,,,,,,,,,,,,,,,,,,69.417,65.838,67.61,,,,,,,6.37587282620868,0.640999972820282,,4.796,1.03,
Latvia,,,,,,,,,1.10706996917725,30.0282802581787,14.6020202636719,100,43.5797996520996,,33.0747489929199,90.3030319213867,42.5506252287231,79.7,70.1,74.7829268292683,2.07630055673307,723534341.32408,,,,,,7.41200017929077,7.41230010986328,5.94,1.465,
Lebanon,,,,,,,,,,,,,,,,,29.3142901458401,80.821,77.076,78.875,4.85179457921743,2775557816.20658,,,,,65.71744208545,6.14300012588501,,5.197,1.224,
Lesotho,,,,,96.5161209106445,96.4000625610352,100,96.5287628173828,,,,,,,,,38.9504240994426,56.954,50.582,53.705,1.75515107245303,51064347.7548233,,,,,80.5375093675758,23.9710006713867,,3.802,1.169,
Liberia,,,,,,,,,,,,,,,,,,65.114,62.347,63.73,0.422612287311853,13729500,,,,,45.6087208939941,2.93199992179871,,3.975,0.922,
Libya,,,,,,,,,,,,,,,,,,75.788,69.895,72.724,,,,,,,,18.4680004119873,,5.525,1.3030000000000002,
Liechtenstein,,,,,,,,,,,,,,,,,,85.5,80.7,83.0414634146342,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,32.2747666057014,80.7,70.9,75.6804878048781,1.98387039559536,1056383744.67382,,,,,,6.14699983596802,6.14709997177124,6.149,1.515,
Luxembourg,,,,,,,,,,,,,,,,,38.4325670412719,84.6,80.1,82.2951219512195,0.565945496842178,393243517.433955,,,,,,5.58500003814697,5.58540010452271,7.09,1.479,
"Macao SAR, China",,,,,,,80.178337097168,81.2330017089844,,,,,,,,,14.6020537823378,87.051,81.149,84.118,,,,,,,,1.96599996089935,1.79999995231628,,,
Madagascar,,,,,,,,,,,,,,,,,9.79857696232826,68.301,65.077,66.681,0.603676114702098,73258425.2386784,,,,,46.6357984486244,1.68900001049042,,3.9330000000000003,0.9159999999999999,
Malawi,,,,,,,,,,,,,,,,,21.3109738574934,66.937,60.651,63.798,0.848242488415882,58369173.4379987,,,,,33.5258806835233,5.62200021743774,,3.41,0.56,
Malaysia,,,,,99.3965835571289,92.8581314086914,83.5316925048828,93.3609390258789,,,,,,,,,15.9313634284387,78.167,74.075,75.997,0.979129162522852,3469828206.79145,,,,,,3.34999990463257,3.29999995231628,5.3389999999999995,1.171,17222.222222222222
